basområde,tid,PCA_Faktor_1,PCA_Faktor_2,PCA_Faktor_3
Linghem södra glesbygd,2017,-0.16,1.378,0.725
Ljungsbro centrum,2017,2.204,0.545,1.394
Ljungsbro mellersta glesbygd,2017,-1.333,0.564,0.388
Ljungsbro norra,2017,-2.735,0.947,-0.746
Ljungsbro norra glesbygd,2017,-1.506,1.309,0.988
Ljungsbro södra glesbygd,2017,-1.138,1.347,0.454
Majelden västra,2017,6.485,0.271,0.707
Majelden östra,2017,2.954,-1.126,-0.566
Malmslätt östra glesbygd,2017,-1.032,0.56,0.542
Manstorp,2017,-1.914,0.434,-0.442
Mariedal,2017,-0.579,-0.1,0.752
Maspelösa,2017,-2.138,0.677,-0.886
Munkgärdet,2017,1.8,-1.76,-0.535
Munkhagen,2017,1.636,-1.184,2.339
Möjetorp,2017,-2.462,-0.024,-0.669
Nedre Ullstämma,2017,-0.773,0.859,-0.103
Nedre Vasastaden,2017,1.691,-2.214,0.545
Norrberga,2017,-1.276,-1.055,-1.192
Nygård,2017,8.056,2.891,0.136
Nykil,2017,-0.407,0.161,0.579
Nykil norra glesbygd,2017,-1.132,0.983,0.594
Nykil södra glesbygd,2017,-1.21,0.568,0.589
Näsby,2017,-4.96,1.361,-2.623
Rappestad,2017,-2.406,1.338,0.425
Rappestad glesbygd,2017,-2.194,0.924,0.154
Ringstorp,2017,-2.031,0.946,0.188
Risbrinken,2017,1.855,-2.079,0.279
Rosendal,2017,12.191,6.788,-1.977
Roxenbaden,2017,-1.442,-0.152,0.693
Roxtuna,2017,-2.095,0.73,-0.246
Rystads kyrkby,2017,-1.026,1.102,0.337
Råberga,2017,1.616,-0.718,0.054
Sjögestad,2017,-0.868,1.1,-0.126
Sjögestad glesbygd,2017,-1.602,1.006,0.007
Skarpan,2017,2.062,-1.174,0.634
Skeda Udde,2017,-2.104,0.227,-0.518
Skeda kyrkby,2017,-2.785,0.729,0.056
Skeda norra glesbygd,2017,-1.731,0.491,-0.084
Skeda södra glesbygd,2017,-2.408,0.44,-0.144
Skogsvallen,2017,-1.505,-1.898,-1.157
Skonberga,2017,-3.26,0.348,-1.188
Slaka glesbygd,2017,-1.581,1.396,-0.216
Slaka västra,2017,-2.973,0.27,-1.057
Slaka östra,2017,-3.377,0.568,-1.297
Slestad,2017,1.899,0.278,-0.791
Slycke,2017,-1.945,1.824,0.195
Sockenmarken,2017,-0.423,0.883,0.035
Solhaga,2017,5.909,-0.162,-0.283
Steninge,2017,1.278,-2.872,-1.797
Stensätter,2017,-2.843,0.835,-2.019
Stolplyckan,2017,3.778,-0.448,0.276
Sturefors glesbygd,2017,-1.725,-0.229,0.04
Sturefors norra,2017,-1.893,0.335,0.515
Sturefors södra,2017,-3.142,0.774,-0.796
Stångebro östra,2017,20.756,8.208,-7.576
Svartmåla-Unön,2017,-1.133,0.693,1.182
Sätra,2017,-1.362,0.915,1.941
Sättuna,2017,-2.669,1.159,-0.987
Sågareholmen,2017,-1.598,-1.742,-0.916
Södra Ekkällan,2017,-0.062,-2.233,-1.442
Sörgården,2017,9.138,2.903,-0.763
T 1 norra,2017,2.138,-2.436,-0.583
T 1 södra,2017,-0.502,-0.505,-0.886
Tallboda glesbygd,2017,-1.655,0.512,0.013
Tallboda norra,2017,-1.716,0.813,-0.53
Tallboda södra,2017,-0.212,0.44,0.059
Tinneröhöjden,2017,0.417,-2.335,-0.794
Tokarp,2017,-1.966,0.96,0.068
Tornhagen,2017,0.643,-1.794,0.006
Ullstämma södra,2017,-1.401,0.71,-1.518
Ullstämma västra,2017,-1.226,0.247,0.425
Ulrika,2017,2.492,1.73,4.598
Ulrika glesbygd,2017,0.184,1.493,1.653
Universitetsjukhuset,2017,-0.549,-1.639,-1.29
Universitetsområdet,2017,8.138,-5.609,-0.797
Vallastaden,2017,4.055,-4.541,-0.761
Vidingsjö nordost,2017,-2.561,0.152,0.092
Vidingsjö nordväst,2017,-2.781,0.177,-0.242
Vidingsjö sydost,2017,-0.823,0.259,0.93
Vidingsjö sydväst,2017,-0.683,-0.553,1.566
Vikingstad glesbygd,2017,-1.817,0.748,0.318
Vikingstad norra,2017,-1.752,0.223,0.426
Vikingstad södra,2017,-1.563,0.135,-0.281
Vreta,2017,-2.107,-1.297,-0.981
Västerberga,2017,8.374,2.521,-1.078
Västerlösa,2017,-1.948,1.432,0.599
Västerlösa glesbygd,2017,-1.638,0.853,0.419
Vårdsbergs kors,2017,-1.21,2.728,1.729
Änggården,2017,0.992,0.555,-0.904
Åbylund,2017,4.204,-1.959,1.029
Åleryd,2017,-0.672,-0.189,1.15
Ånestad norra,2017,-2.543,-0.217,-0.976
Ånestad södra,2017,-2.597,-0.248,-0.533
Örtomta,2017,-1.989,0.646,0.092
Örtomta västra glesbygd,2017,-1.491,1.576,0.437
Örtomta östra glesbygd,2017,-0.749,0.759,0.926
Österberga norra,2017,7.012,1.304,-0.242
Österberga södra,2017,-2.272,-0.034,0.333
Östernäs,2017,-3.323,0.812,-1.821
Övre Vasastaden västra,2017,4.554,-1.359,0.291
Övre Vasastaden östra,2017,3.133,-2.485,-0.165
Alsätter västra,2016,8.959,-2.716,0.899
Alsätter östra,2016,7.954,2.177,0.07
Arnebo,2016,-1.512,-0.116,0.18
Askeby,2016,-2.5,0.717,0.518
Askeby glesbygd,2016,-2.384,-0.088,0.018
Aspnäset,2016,0.522,-0.141,-2.201
Bankekind,2016,-2.283,0.473,0.794
Bankekind norra glesbygd,2016,-1.687,0.798,-0.122
Bankekind södra glesbygd,2016,-0.974,0.031,0.019
Barhäll,2016,-1.764,0.357,1.047
Berg,2016,-2.721,0.072,0.351
Berg norra glesbygd,2016,-0.582,0.074,-0.544
Berg södra glesbygd,2016,-1.81,0.721,0.114
Berga glesbygd,2016,-1.769,1.765,-0.813
Bestorp norra glesbygd,2016,0.248,-0.276,-0.228
Bestorp södra glesbygd,2016,-1.583,0.711,-0.234
Bestorp västra,2016,-0.897,0.907,-1.369
Bestorp östra,2016,-0.62,0.502,0.032
Bjärka-Säby,2016,-0.85,0.293,0.061
Björkeberg glesbygd,2016,-0.603,2.135,0.053
Björkeberg kyrkby,2016,-0.954,1.341,-0.851
Björnkärr,2016,-1.733,0.486,0.519
Blästad,2016,-1.46,0.671,-0.294
Brokind,2016,-2.382,0.448,0.367
Brokind norra glesbygd,2016,-1.192,-0.261,-0.865
Brokind södra glesbygd,2016,-2.194,0.393,0.374
Brunnby-Heda,2016,-1.106,0.817,0.069
Djurgården centrum,2016,3.553,-4.865,2.863
Duvkullen,2016,0.216,-0.814,-0.229
Ebbepark,2016,1.374,-2.733,1.044
Ekholmen centrum,2016,3.228,0.293,-2.045
Ektuna,2016,-3.264,0.327,0.238
Ekängen glesbygd,2016,-0.337,0.893,-0.578
Fjälla,2016,-1.739,0.06,-0.011
Flistad kyrkby,2016,1.105,-2.019,0.289
Folkets Park,2016,-0.299,-1.94,0.422
Folkungavallen,2016,3.542,-5.604,2.679
Fridhem,2016,2.858,-2.618,-0.255
Fridsberg,2016,-3.346,-0.673,1.475
Gamla Ekkällan,2016,1.622,-2.7,-0.012
Gamla Gottfridsberg,2016,3.296,-1.754,0.02
Gamla Linghem,2016,-1.273,0.668,-0.112
Gamla Malmslätt,2016,-0.963,-0.011,-0.122
Gamla Ramshäll,2016,-0.66,-1.04,-0.142
Gamla Tannefors,2016,1.875,-0.95,-0.939
Gamla Valla,2016,2.722,-3.809,0.537
Gamla Vimanshäll,2016,-2.087,-0.471,1.185
Gammalkil glesbygd,2016,-1.29,0.515,-0.677
Gistad,2016,-0.635,0.936,-1.01
Gistad glesbygd,2016,-1.876,0.185,-0.087
Gullberg,2016,-2.01,0.988,1.367
Gälstad-Lundby,2016,-1.869,1.277,0.021
Hackefors nordväst,2016,-2.737,0.959,1.019
Hagaberg,2016,-1.534,-1.754,0.137
Haninge västra,2016,-1.635,0.392,0.106
Haninge östra,2016,1.865,1.147,-0.419
Harvestad östra,2016,-1.247,-1.424,1.581
Hejdegården norra,2016,2.715,-1.792,-0.327
Himna södra,2016,-2.821,0.668,0.706
Hjulsbro östra,2016,-2.958,0.457,0.335
Holmen,2016,-0.999,0.609,0.23
Hunneberg,2016,2.397,-3.018,-0.42
Innerstaden nordost,2016,2.566,-1.703,-0.826
Innerstaden nordväst,2016,1.666,-2.3,-0.347
Innerstaden sydost,2016,2.207,-1.879,-0.798
Innerstaden sydväst,2016,1.316,-2.176,-1.111
Johannelund västra,2016,4.038,-0.736,-0.714
Johannesborg,2016,2.169,-3.301,-0.43
Jägarvallen,2016,-1.858,0.514,0.584
Kanaljorden,2016,3.054,2.515,-2.794
Kanberget,2016,0.831,-2.13,0.111
Kolbyttemon,2016,-3.015,1.011,0.947
Kränge,2016,-2.57,0.648,1.025
Kungsberget,2016,2.549,-2.268,-0.301
Kvinneby,2016,1.121,0.154,-1.582
Källhemsområdet,2016,-2.455,0.801,-0.245
Kärna-Ledberg glesbygd,2016,-1.684,0.999,-0.113
Lambohov västra,2016,-3.021,-1.335,1.35
Landeryd norra,2016,9.113,-1.084,-10.987
Landeryd västra glesbygd,2016,0.52,0.893,-0.826
Landeryd östra glesbygd,2016,-2.452,0.912,-0.304
Ledberg kyrkby,2016,-1.346,0.372,-0.75
Lilla Mjärdevi,2016,2.249,-0.254,0.573
Linghem norra glesbygd,2016,-1.538,0.901,-0.277
Linghem södra glesbygd,2016,-0.323,1.592,-0.567
Ljungsbro centrum,2016,2.295,0.678,-1.501
Ljungsbro mellersta glesbygd,2016,-1.241,0.515,-0.349
Ljungsbro norra,2016,-2.776,0.981,0.809
Ljungsbro norra glesbygd,2016,-1.293,1.222,-0.927
Ljungsbro södra glesbygd,2016,-1.36,1.185,-0.328
Majelden västra,2016,6.549,0.419,-1.199
Majelden östra,2016,3.435,-1.155,0.032
Malmslätt östra glesbygd,2016,-0.858,0.933,-0.518
Manstorp,2016,-1.851,0.54,0.327
Mariedal,2016,-0.536,0.031,-0.573
Maspelösa,2016,-1.982,0.92,0.753
Munkgärdet,2016,1.6,-2.097,0.43
Munkhagen,2016,1.851,-1.029,-2.247
Möjetorp,2016,-2.408,-0.094,0.851
Nedre Ullstämma,2016,-0.802,0.926,0.367
Nedre Vasastaden,2016,1.781,-2.269,-0.622
Norrberga,2016,-1.23,-1.063,1.341
Nygård,2016,8.221,3.403,0.04
Nykil,2016,-0.052,0.29,-0.424
Nykil norra glesbygd,2016,-1.087,1.008,-0.643
Nykil södra glesbygd,2016,-1.413,0.414,-0.463
Näsby,2016,-5.131,1.411,2.329
Rappestad,2016,-2.303,1.262,-0.522
Rappestad glesbygd,2016,-2.008,1.008,0.241
Ringstorp,2016,-1.58,1.122,-0.128
Risbrinken,2016,1.78,-2.403,-0.409
Rosendal,2016,13.171,8.207,1.337
Roxenbaden,2016,-1.606,-0.102,-0.199
Roxtuna,2016,-2.291,0.753,-0.676
Rystads kyrkby,2016,-0.584,1.08,-0.105
Råberga,2016,2.051,-0.376,-0.14
Sjögestad,2016,-1.001,1.448,-0.081
Sjögestad glesbygd,2016,-1.705,0.862,0.074
Skarpan,2016,1.534,-1.039,-0.67
Skeda Udde,2016,-2.217,-0.037,-0.014
Skeda kyrkby,2016,-2.062,0.831,0.023
Skeda norra glesbygd,2016,-1.886,0.489,0.206
Skeda södra glesbygd,2016,-2.317,0.531,0.06
Skogsvallen,2016,-1.592,-2.255,1.051
Skonberga,2016,-3.309,0.242,0.936
Slaka glesbygd,2016,-1.689,1.367,0.44
Slaka västra,2016,-3.19,0.177,0.986
Slaka östra,2016,-3.352,0.62,1.087
Slestad,2016,1.925,0.473,0.803
Slycke,2016,-1.921,1.598,-0.141
Sockenmarken,2016,-0.438,0.91,-0.279
Solhaga,2016,6.545,0.656,0.247
Steninge,2016,1.771,-2.854,1.662
Stensätter,2016,-3.154,0.563,1.641
Stolplyckan,2016,3.753,-0.325,-0.461
Sturefors glesbygd,2016,-1.737,-0.282,-0.123
Sturefors norra,2016,-2.016,0.37,-0.448
Sturefors södra,2016,-3.104,0.866,0.666
Stångebro östra,2016,18.213,5.332,8.627
Svartmåla-Unön,2016,-1.491,0.699,-1.068
Sätra,2016,-1.198,0.57,-1.961
Sättuna,2016,-3.23,0.604,0.821
Sågareholmen,2016,-1.666,-1.708,0.983
Södra Ekkällan,2016,-0.282,-2.182,1.083
Sörgården,2016,9.19,3.4,0.755
T 1 norra,2016,2.221,-2.377,0.479
T 1 södra,2016,-0.475,-0.394,0.827
Tallboda glesbygd,2016,-1.665,0.54,0.138
Tallboda norra,2016,-1.752,0.852,0.673
Tallboda södra,2016,-0.285,0.572,0.14
Tinneröhöjden,2016,0.303,-2.306,0.746
Tokarp,2016,-1.981,1.061,0.228
Tornhagen,2016,0.596,-1.89,0.092
Ullstämma södra,2016,-2.537,0.054,0.932
Ullstämma västra,2016,-1.406,0.216,-0.412
Ulrika,2016,2.934,1.916,-4.254
Ulrika glesbygd,2016,0.199,1.489,-1.09
Universitetsjukhuset,2016,-0.751,-1.932,1.59
Universitetsområdet,2016,8.117,-5.645,0.941
Vallastaden,2016,2.023,-4.184,0.842
Vidingsjö nordost,2016,-2.628,-0.055,0.009
Vidingsjö nordväst,2016,-2.656,0.036,0.196
Vidingsjö sydost,2016,-0.728,0.379,-0.998
Vidingsjö sydväst,2016,-0.77,-0.578,-1.443
Vikingstad glesbygd,2016,-1.765,0.862,-0.274
Vikingstad norra,2016,-1.774,0.295,-0.252
Vikingstad södra,2016,-1.497,0.296,0.266
Vreta,2016,-1.885,-1.858,0.6
Västerberga,2016,9.03,3.602,0.828
Västerlösa,2016,-1.898,1.547,-0.465
Västerlösa glesbygd,2016,-1.534,0.892,-0.284
Vårdsbergs kors,2016,-1.628,2.189,-1.802
Änggården,2016,1.101,0.497,0.879
Åbylund,2016,4.529,-1.693,-1.249
Åleryd,2016,-0.736,-0.504,-0.888
Ånestad norra,2016,-2.472,-0.339,0.784
Ånestad södra,2016,-2.579,-0.327,0.5
Örtomta,2016,-1.79,1.172,-0.345
Örtomta västra glesbygd,2016,-1.506,1.554,-0.404
Örtomta östra glesbygd,2016,-0.581,0.893,-0.582
Österberga norra,2016,7.567,1.95,0.05
Österberga södra,2016,-2.244,-0.247,-0.526
Östernäs,2016,-3.66,0.741,1.626
Övre Vasastaden västra,2016,4.681,-1.222,-0.303
Övre Vasastaden östra,2016,3.112,-2.519,-0.039
Alsätter västra,2015,8.876,-2.684,-0.733
Alsätter östra,2015,8.004,2.316,-0.712
Arnebo,2015,-1.704,0.055,-0.116
Askeby,2015,-2.257,0.799,-0.368
Askeby glesbygd,2015,-2.104,0.163,-0.184
Aspnäset,2015,0.651,-0.015,2.474
Bankekind,2015,-2.406,0.252,-0.812
Bankekind norra glesbygd,2015,-1.812,0.959,0.166
Bankekind södra glesbygd,2015,-0.971,0.104,0.269
Barhäll,2015,-1.643,0.318,-1.25
Berg,2015,-2.721,-0.147,-0.476
Berg norra glesbygd,2015,-0.604,0.194,0.726
Berg södra glesbygd,2015,-1.962,0.664,-0.039
Berga glesbygd,2015,-1.582,1.759,1.124
Bestorp norra glesbygd,2015,0.326,-0.576,0.4
Bestorp södra glesbygd,2015,-1.659,0.76,0.285
Bestorp västra,2015,-1.156,0.662,1.409
Bestorp östra,2015,0.093,0.956,0.234
Bjärka-Säby,2015,-0.24,0.514,0.243
Björkeberg glesbygd,2015,-1.369,1.712,0.321
Björkeberg kyrkby,2015,-1.068,1.089,1.139
Björnkärr,2015,-1.837,0.454,-0.572
Blästad,2015,-1.534,0.738,0.13
Brokind,2015,-2.393,0.284,-0.475
Brokind norra glesbygd,2015,-1.375,0.114,0.827
Brokind södra glesbygd,2015,-2.166,0.363,-0.193
Brunnby-Heda,2015,-1.114,0.87,-0.068
Djurgården centrum,2015,3.446,-4.763,-2.442
Duvkullen,2015,0.37,-0.861,0.025
Ebbepark,2015,1.309,-2.791,-1.23
Ekholmen centrum,2015,3.162,0.363,2.114
Ektuna,2015,-3.311,0.382,-0.453
Ekängen glesbygd,2015,-0.935,0.919,0.596
Fjälla,2015,-1.753,0.081,0.164
Flistad kyrkby,2015,0.974,-1.928,-0.396
Folkets Park,2015,-0.637,-1.786,-0.428
Folkungavallen,2015,3.442,-5.483,-2.365
Fridhem,2015,2.842,-2.694,0.332
Fridsberg,2015,-3.261,-0.743,-1.622
Gamla Ekkällan,2015,1.616,-2.74,-0.154
Gamla Gottfridsberg,2015,3.332,-1.783,0.029
Gamla Linghem,2015,-1.617,0.584,-0.147
Gamla Malmslätt,2015,-0.962,-0.07,0.156
Gamla Ramshäll,2015,-0.204,-0.925,0.351
Gamla Tannefors,2015,2.092,-0.848,0.739
Gamla Valla,2015,2.57,-3.833,-0.548
Gamla Vimanshäll,2015,-1.572,-0.547,-1.079
Gammalkil glesbygd,2015,-1.365,0.448,0.662
Gistad,2015,-0.617,0.944,1.042
Gistad glesbygd,2015,-1.768,0.479,0.026
Gullberg,2015,-2.26,0.402,-1.126
Gälstad-Lundby,2015,-2.219,0.892,-0.377
Hackefors nordväst,2015,-2.586,0.988,-1.124
Hagaberg,2015,-1.5,-1.71,-0.419
Haninge västra,2015,-1.497,0.527,-0.16
Haninge östra,2015,1.562,0.912,0.148
Harvestad östra,2015,-1.462,-1.671,-1.465
Hejdegården norra,2015,2.687,-1.713,0.174
Himna södra,2015,-2.845,0.551,-0.788
Hjulsbro östra,2015,-2.949,0.513,-0.456
Holmen,2015,-1.007,0.439,-0.325
Hunneberg,2015,2.413,-3.09,0.285
Innerstaden nordost,2015,2.521,-1.729,0.74
Innerstaden nordväst,2015,1.866,-2.29,0.218
Innerstaden sydost,2015,2.2,-1.775,0.595
Innerstaden sydväst,2015,1.247,-2.257,0.937
Johannelund västra,2015,4.139,-0.681,0.692
Johannesborg,2015,2.266,-3.249,0.591
Jägarvallen,2015,-2.197,0.422,-0.58
Kanaljorden,2015,1.929,1.703,4.145
Kanberget,2015,0.794,-2.154,-0.102
Kolbyttemon,2015,-3.147,0.926,-0.283
Kränge,2015,-2.586,0.904,-1.015
Kungsberget,2015,2.726,-2.246,0.42
Kvinneby,2015,0.957,0.103,1.478
Källhemsområdet,2015,-2.488,0.847,0.217
Kärna-Ledberg glesbygd,2015,-1.708,1.102,0.257
Lambohov västra,2015,-2.902,-1.339,-2.824
Landeryd norra,2015,9.307,-0.859,11.419
Landeryd västra glesbygd,2015,0.299,0.588,0.839
Landeryd östra glesbygd,2015,-2.445,1.147,0.404
Ledberg kyrkby,2015,-1.099,0.117,0.818
Lilla Mjärdevi,2015,2.183,-0.248,-0.683
Linghem norra glesbygd,2015,-1.188,0.974,0.473
Linghem södra glesbygd,2015,-0.495,1.394,0.412
Ljungsbro centrum,2015,2.08,0.541,1.47
Ljungsbro mellersta glesbygd,2015,-1.222,0.586,0.354
Ljungsbro norra,2015,-2.841,0.988,-0.815
Ljungsbro norra glesbygd,2015,-1.313,1.311,1.227
Ljungsbro södra glesbygd,2015,-1.297,1.163,0.281
Majelden västra,2015,5.759,-0.032,0.941
Majelden östra,2015,3.621,-0.979,-0.148
Malmslätt östra glesbygd,2015,-0.617,0.911,0.56
Manstorp,2015,-1.763,0.421,-0.353
Mariedal,2015,-0.673,0.07,0.575
Maspelösa,2015,-1.637,0.818,-0.152
Munkgärdet,2015,1.989,-1.898,-0.325
Munkhagen,2015,1.768,-0.92,2.278
Möjetorp,2015,-2.351,-0.108,-0.909
Nedre Ullstämma,2015,-0.868,0.781,-0.157
Nedre Vasastaden,2015,1.758,-2.346,0.712
Norrberga,2015,-0.065,-1.516,-0.389
Nygård,2015,8.31,3.604,-0.279
Nykil,2015,-0.147,0.56,0.177
Nykil norra glesbygd,2015,-1.375,0.968,0.752
Nykil södra glesbygd,2015,-1.075,0.614,0.704
Näsby,2015,-5.157,1.464,-2.593
Rappestad,2015,-2.402,1.37,0.567
Rappestad glesbygd,2015,-2.039,0.852,0.152
Ringstorp,2015,-1.805,1.239,0.268
Risbrinken,2015,1.65,-2.503,0.373
Rosendal,2015,13.133,8.454,-2.269
Roxenbaden,2015,-1.627,0.038,0.446
Roxtuna,2015,-2.437,0.441,0.144
Rystads kyrkby,2015,-0.753,0.327,-0.249
Råberga,2015,2.117,-0.442,-0.109
Sjögestad,2015,-1.392,1.072,-0.087
Sjögestad glesbygd,2015,-1.587,0.979,0.135
Skarpan,2015,1.61,-0.702,0.563
Skeda Udde,2015,-2.342,0.079,-0.295
Skeda kyrkby,2015,-1.91,1.009,-0.131
Skeda norra glesbygd,2015,-1.752,0.497,0.06
Skeda södra glesbygd,2015,-2.424,0.437,-0.106
Skogsvallen,2015,-1.572,-2.34,-1.057
Skonberga,2015,-3.292,0.296,-1.058
Slaka glesbygd,2015,-1.617,1.198,-0.427
Slaka västra,2015,-2.955,-0.045,-0.801
Slaka östra,2015,-3.239,0.7,-1.383
Slestad,2015,2.059,0.588,-0.966
Slycke,2015,-2.006,1.742,0.229
Sockenmarken,2015,-0.397,0.948,0.048
Solhaga,2015,6.427,0.675,-0.558
Steninge,2015,3.71,-1.894,-2.084
Stensätter,2015,-3.258,0.279,-1.718
Stolplyckan,2015,3.401,-0.636,0.304
Sturefors glesbygd,2015,-1.876,-0.461,0.001
Sturefors norra,2015,-2.112,0.318,0.295
Sturefors södra,2015,-3.124,0.848,-0.904
Stångebro östra,2015,17.756,5.144,-7.026
Svartmåla-Unön,2015,-1.42,0.975,1.43
Sätra,2015,-1.429,0.714,1.428
Sättuna,2015,-2.678,0.884,-0.684
Sågareholmen,2015,-1.468,-1.608,-0.254
Södra Ekkällan,2015,-0.268,-2.183,-1.109
Sörgården,2015,9.0,3.2,-0.778
T 1 norra,2015,2.225,-2.352,-0.614
T 1 södra,2015,-0.526,-0.448,-0.977
Tallboda glesbygd,2015,-1.705,0.606,-0.183
Tallboda norra,2015,-1.551,0.837,-0.688
Tallboda södra,2015,-0.353,0.41,0.006
Tinneröhöjden,2015,0.444,-2.12,-0.768
Tokarp,2015,-2.156,0.992,-0.329
Tornhagen,2015,0.493,-1.816,-0.112
Ullstämma södra,2015,-2.4,-0.133,-0.981
Ullstämma västra,2015,-1.44,0.194,0.311
Ulrika,2015,3.171,2.508,3.567
Ulrika glesbygd,2015,0.307,1.35,1.57
Universitetsjukhuset,2015,-1.645,-1.932,-1.639
Universitetsområdet,2015,8.149,-5.232,-0.434
Vallastaden,2015,1.98,-4.297,-0.826
Vidingsjö nordost,2015,-2.523,-0.007,0.085
Vidingsjö nordväst,2015,-2.711,-0.038,-0.304
Vidingsjö sydost,2015,-0.632,0.368,1.157
Vidingsjö sydväst,2015,-0.878,-0.456,1.386
Vikingstad glesbygd,2015,-2.015,0.712,0.159
Vikingstad norra,2015,-1.812,0.361,0.414
Vikingstad södra,2015,-1.377,0.252,-0.22
Vreta,2015,-1.945,-1.52,-0.83
Västerberga,2015,9.309,3.721,-1.686
Västerlösa,2015,-1.839,1.655,0.91
Västerlösa glesbygd,2015,-1.779,0.732,0.146
Vårdsbergs kors,2015,-1.665,2.75,2.494
Änggården,2015,1.158,0.525,-0.975
Åbylund,2015,4.227,-1.85,1.238
Åleryd,2015,-0.876,-0.747,1.013
Ånestad norra,2015,-2.313,-0.359,-0.725
Ånestad södra,2015,-2.653,-0.277,-0.526
Örtomta,2015,-1.885,1.171,-0.002
Örtomta västra glesbygd,2015,-1.16,1.559,0.373
Örtomta östra glesbygd,2015,-0.287,1.09,0.813
Österberga norra,2015,7.809,2.163,-0.641
Österberga södra,2015,-2.165,-0.177,0.401
Östernäs,2015,-3.608,0.697,-1.781
Övre Vasastaden västra,2015,4.981,-1.442,0.2
Övre Vasastaden östra,2015,3.138,-2.461,0.04
