Kommun;År;Indikator;Värde
Östergötlands län;2015;Arbetslöshet;9.2
Östergötlands län;2016;Arbetslöshet;8.8
Östergötlands län;2017;Arbetslöshet;8.8
Östergötlands län;2018;Arbetslöshet;8.3
Östergötlands län;2019;Arbetslöshet;7.8
Östergötlands län;2020;Arbetslöshet;8.2
Östergötlands län;2021;Arbetslöshet;8.5
Östergötlands län;2022;Arbetslöshet;7.3
Östergötlands län;2023;Arbetslöshet;6.7
Östergötlands län;2024;Arbetslöshet;7.0
Östergötlands län;2025;Arbetslöshet;7.4
Fem till tolv;2000;BRP;258.65000000000003
Fem till tolv;2001;BRP;270.52500000000003
Fem till tolv;2002;BRP;285.20000000000005
Fem till tolv;2003;BRP;293.275
Fem till tolv;2004;BRP;304.6125
Fem till tolv;2005;BRP;313.48749999999995
Fem till tolv;2006;BRP;332.5
Fem till tolv;2007;BRP;364.0875
Fem till tolv;2008;BRP;349.6875
Fem till tolv;2009;BRP;329.6625
Fem till tolv;2010;BRP;357.67499999999995
Fem till tolv;2011;BRP;369.875
Fem till tolv;2012;BRP;401.0
Fem till tolv;2013;BRP;408.0375
Fem till tolv;2014;BRP;419.0125
Fem till tolv;2015;BRP;440.9624999999999
Fem till tolv;2016;BRP;440.4
Fem till tolv;2017;BRP;461.8
Fem till tolv;2018;BRP;475.3375
Fem till tolv;2019;BRP;489.775
Fem till tolv;2020;BRP;492.2000000000001
Fem till tolv;2021;BRP;524.575
Fem till tolv;2022;BRP;555.8875
Fem till tolv;2023;BRP;581.8
Fem till tolv;2024;BRP;581.8
Fem till tolv;2025;BRP;581.8
Fyra stora;2000;BRP;340.5
Fyra stora;2001;BRP;357.175
Fyra stora;2002;BRP;360.525
Fyra stora;2003;BRP;379.975
Fyra stora;2004;BRP;394.325
Fyra stora;2005;BRP;415.225
Fyra stora;2006;BRP;433.65
Fyra stora;2007;BRP;459.95
Fyra stora;2008;BRP;466.2
Fyra stora;2009;BRP;454.8
Fyra stora;2010;BRP;467.225
Fyra stora;2011;BRP;488.25
Fyra stora;2012;BRP;539.9
Fyra stora;2013;BRP;551.0
Fyra stora;2014;BRP;579.95
Fyra stora;2015;BRP;623.25
Fyra stora;2016;BRP;628.45
Fyra stora;2017;BRP;649.875
Fyra stora;2018;BRP;667.0
Fyra stora;2019;BRP;698.675
Fyra stora;2020;BRP;688.075
Fyra stora;2021;BRP;746.425
Fyra stora;2022;BRP;819.4000000000001
Fyra stora;2023;BRP;853.825
Fyra stora;2024;BRP;853.825
Fyra stora;2025;BRP;853.825
Göteborg;2000;BRP;337.3
Göteborg;2001;BRP;366.8
Göteborg;2002;BRP;355.7
Göteborg;2003;BRP;399.5
Göteborg;2004;BRP;402.7
Göteborg;2005;BRP;422.5
Göteborg;2006;BRP;449.8
Göteborg;2007;BRP;466.7
Göteborg;2008;BRP;466.5
Göteborg;2009;BRP;430.7
Göteborg;2010;BRP;464.4
Göteborg;2011;BRP;474.7
Göteborg;2012;BRP;534.1
Göteborg;2013;BRP;542.0
Göteborg;2014;BRP;565.1
Göteborg;2015;BRP;628.8
Göteborg;2016;BRP;654.3
Göteborg;2017;BRP;673.8
Göteborg;2018;BRP;693.7
Göteborg;2019;BRP;720.6
Göteborg;2020;BRP;683.2
Göteborg;2021;BRP;742.7
Göteborg;2022;BRP;826.5
Göteborg;2023;BRP;899.5
Göteborg;2024;BRP;899.5
Göteborg;2025;BRP;899.5
Helsingborg;2000;BRP;281.0
Helsingborg;2001;BRP;291.7
Helsingborg;2002;BRP;312.0
Helsingborg;2003;BRP;309.4
Helsingborg;2004;BRP;334.3
Helsingborg;2005;BRP;355.5
Helsingborg;2006;BRP;363.9
Helsingborg;2007;BRP;370.4
Helsingborg;2008;BRP;362.5
Helsingborg;2009;BRP;348.0
Helsingborg;2010;BRP;358.5
Helsingborg;2011;BRP;374.6
Helsingborg;2012;BRP;395.4
Helsingborg;2013;BRP;400.2
Helsingborg;2014;BRP;408.7
Helsingborg;2015;BRP;417.7
Helsingborg;2016;BRP;433.1
Helsingborg;2017;BRP;457.6
Helsingborg;2018;BRP;467.5
Helsingborg;2019;BRP;480.8
Helsingborg;2020;BRP;484.0
Helsingborg;2021;BRP;501.8
Helsingborg;2022;BRP;524.3
Helsingborg;2023;BRP;551.6
Helsingborg;2024;BRP;551.6
Helsingborg;2025;BRP;551.6
Jönköping;2000;BRP;253.0
Jönköping;2001;BRP;262.0
Jönköping;2002;BRP;271.9
Jönköping;2003;BRP;285.0
Jönköping;2004;BRP;301.8
Jönköping;2005;BRP;299.0
Jönköping;2006;BRP;316.2
Jönköping;2007;BRP;338.4
Jönköping;2008;BRP;344.7
Jönköping;2009;BRP;320.2
Jönköping;2010;BRP;337.9
Jönköping;2011;BRP;362.7
Jönköping;2012;BRP;379.7
Jönköping;2013;BRP;377.2
Jönköping;2014;BRP;396.6
Jönköping;2015;BRP;411.7
Jönköping;2016;BRP;435.4
Jönköping;2017;BRP;459.8
Jönköping;2018;BRP;469.3
Jönköping;2019;BRP;491.1
Jönköping;2020;BRP;492.0
Jönköping;2021;BRP;526.1
Jönköping;2022;BRP;541.9
Jönköping;2023;BRP;559.4
Jönköping;2024;BRP;559.4
Jönköping;2025;BRP;559.4
Linköping;2000;BRP;256.6
Linköping;2001;BRP;259.4
Linköping;2002;BRP;284.2
