År;Månad;Rapportvy;Autogenererad_Fakta;Färdig_Analystext;Robot_Fakta
2025;2;Befolkning;I februari 2025 uppgick folkmängden i Linköping till 168 093. Det innebär en förändring med -1 personer jämfört med föregående månad  och +580 personer jämfört med samma månad föregående år. Under månaden föddes 114 barn och 114 personer avled (födelsenetto +0). Samtidigt var kommunens totala flyttnetto +25 personer.;I februari 2025 uppgick folkmängden i Linköping till 168 093. Det innebär en förändring med -1 personer jämfört med föregående månad  och +580 personer jämfört med samma månad föregående år. Under månaden föddes 114 barn och 114 personer avled (födelsenetto +0). Samtidigt var kommunens totala flyttnetto +25 personer.;A
2025;3;Befolkning;I mars 2025 uppgick folkmängden i Linköping till 168 117. Det innebär en förändring med +24 personer jämfört med föregående månad  och +645 personer jämfört med samma månad föregående år. Under månaden föddes 111 barn och 116 personer avled (födelsenetto -5). Samtidigt var kommunens totala flyttnetto +7 personer.;I mars 2025 uppgick folkmängden i Linköping till 168 117. Det innebär en förändring med +24 personer jämfört med föregående månad  och +645 personer jämfört med samma månad föregående år. Under månaden föddes 111 barn och 116 personer avled (födelsenetto -5). Samtidigt var kommunens totala flyttnetto +7 personer.;A
2025;4;Befolkning;I april 2025 uppgick folkmängden i Linköping till 168 051. Det innebär en förändring med -66 personer jämfört med föregående månad  och +711 personer jämfört med samma månad föregående år. Under månaden föddes 128 barn och 116 personer avled (födelsenetto +12). Samtidigt var kommunens totala flyttnetto -72 personer.;I april 2025 uppgick folkmängden i Linköping till 168 051. Det innebär en förändring med -66 personer jämfört med föregående månad  och +711 personer jämfört med samma månad föregående år. Under månaden föddes 128 barn och 116 personer avled (födelsenetto +12). Samtidigt var kommunens totala flyttnetto -72 personer.;A
2025;5;Befolkning;I maj 2025 uppgick folkmängden i Linköping till 168 058. Det innebär en förändring med +7 personer jämfört med föregående månad  och +779 personer jämfört med samma månad föregående år. Under månaden föddes 150 barn och 106 personer avled (födelsenetto +44). Samtidigt var kommunens totala flyttnetto -57 personer.;I maj 2025 uppgick folkmängden i Linköping till 168 058. Det innebär en förändring med +7 personer jämfört med föregående månad  och +779 personer jämfört med samma månad föregående år. Under månaden föddes 150 barn och 106 personer avled (födelsenetto +44). Samtidigt var kommunens totala flyttnetto -57 personer.;A
2025;6;Befolkning;I juni 2025 uppgick folkmängden i Linköping till 167 440. Det innebär en förändring med -618 personer jämfört med föregående månad  och +673 personer jämfört med samma månad föregående år. Under månaden föddes 160 barn och 87 personer avled (födelsenetto +73). Samtidigt var kommunens totala flyttnetto -662 personer.;I juni 2025 uppgick folkmängden i Linköping till 167 440. Det innebär en förändring med -618 personer jämfört med föregående månad  och +673 personer jämfört med samma månad föregående år. Under månaden föddes 160 barn och 87 personer avled (födelsenetto +73). Samtidigt var kommunens totala flyttnetto -662 personer.;A
2025;7;Befolkning;;Under juli månad föddes 135 barn i Linköpings kommun och hittills under året har det fötts 918 barn i kommunen. Under de senaste tolv månaderna har det fötts 1 518 barn, det innebär att jämfört med kommunens befolkningsprognos har det fötts 62 färre barn än förväntat under de senaste tolv månaderna. 93 personer avled i juli och födelseöverskottet för månaden uppgick därmed till 42 personer. Födelseöverskott för året sju första månader uppgick till 158 personer. Vid månadens slut bodde det 167 198 personer i Linköping.;F
2025;8;Befolkning;;Den normala säsongseffekten när det gäller omfattande befolkningsökning i augusti stämde väl in på utvecklingen också under 2025. Folkmängden ökade med 1 180 personer under augusti månad. Främst drivet av en omfattande inflyttning av universitetsstudenter. Under de senaste tolv månaderna har folkmängden ökat med 654 personer i Linköping. Det föddes 129 barn i augusti och hittills under året har det fötts 1 047 barn. 100 personer avled i augusti. Hittills under året har folkmängden ökat med 343 personer och vid månadens slut bodde 168 378 personer i Linköpiung.;F
2025;9;Befolkning;I september 2025 uppgick folkmängden i Linköping till 168 726. Det innebär en förändring med +348 personer jämfört med föregående månad  och +732 personer jämfört med samma månad föregående år. Under månaden föddes 113 barn och 89 personer avled (födelsenetto +24). Samtidigt var kommunens totala flyttnetto +329 personer.;I september 2025 uppgick folkmängden i Linköping till 168 726. Det innebär en förändring med +348 personer jämfört med föregående månad  och +732 personer jämfört med samma månad föregående år. Under månaden föddes 113 barn och 89 personer avled (födelsenetto +24). Samtidigt var kommunens totala flyttnetto +329 personer.;A
2025;10;Befolkning;I oktober 2025 uppgick folkmängden i Linköping till 168 859. Det innebär en förändring med +133 personer jämfört med föregående månad  och +758 personer jämfört med samma månad föregående år. Under månaden föddes 140 barn och 116 personer avled (födelsenetto +24). Samtidigt var kommunens totala flyttnetto +89 personer.;I oktober 2025 uppgick folkmängden i Linköping till 168 859. Det innebär en förändring med +133 personer jämfört med föregående månad  och +758 personer jämfört med samma månad föregående år. Under månaden föddes 140 barn och 116 personer avled (födelsenetto +24). Samtidigt var kommunens totala flyttnetto +89 personer.;A
2025;11;Befolkning;I november 2025 uppgick folkmängden i Linköping till 168 831. Det innebär en förändring med -28 personer jämfört med föregående månad  och +756 personer jämfört med samma månad föregående år. Under månaden föddes 105 barn och 84 personer avled (födelsenetto +21). Samtidigt var kommunens totala flyttnetto -19 personer.;I november 2025 uppgick folkmängden i Linköping till 168 831. Det innebär en förändring med -28 personer jämfört med föregående månad  och +756 personer jämfört med samma månad föregående år. Under månaden föddes 105 barn och 84 personer avled (födelsenetto +21). Samtidigt var kommunens totala flyttnetto -19 personer.;A
