Nr,Rent_Namn,Målvakt,Nationalitet,Alias,Född,Avled,Klubb,Tid,Mat,Mål,Anteckningar
9498,"AHLSTRAND, ALBIN",Nej,SWE,,2004-03-10,,HALMSTADS BK,2023,4,0,
9248,"AHLSTRAND, ERIK",Nej,SWE,,2001-10-14,,HALMSTADS BK,2021-2023,47,3,
4374,"AHLSTRÖM, ANDERS",Nej,SWE,,1948-08-01,2019-06-13,DJURGÅRDENS IF,1972-1973,27,10,
4374,"AHLSTRÖM, ANDERS",Nej,SWE,,1948-08-01,2019-06-13,BRYNÄS IF,1974,23,1,
7828,"AHLSTRÖM, CHRISTIAN",Nej,SWE,,1986-04-22,,TRELLEBORGS FF,2007,3,0,
3723,"AHLSTRÖM, GÖRAN",Nej,SWE,NOBBY,1950-01-18,,IF ELFSBORG,1969-1981,257,12,
4356,"AHLSTRÖM, ROALD",Nej,SWE,,1939-11-13,,HAMMARBY IF,1961-1962,5,0,
4381,"AHLSTRÖM, THOMAS",Nej,SWE,ALIS,1952-07-17,,IF ELFSBORG,1971-1984,238,102,
2373,"AHLSTRÖM, ÅKE",Nej,SWE,,1923-04-27,1949-01-03,HELSINGBORGS IF,1945,1,0,
3735,"AHLUND, PETER",Nej,SWE,PEPPE,1949-06-09,,IK SIRIUS,1969-1973,12,1,
9680,"AHMADI, MOHAMMED",Nej,SWE,,2000-01-09,,FALKENBERGS FF,2020,2,0,
8981,"AHMED, AMMAR",Nej,SWE,,1988-07-03,,ÅTVIDABERGS FF,2015,28,1,
8981,"AHMED, AMMAR",Nej,SWE,,1988-07-03,,DALKURD FF,2018,20,0,
9763,"AHMED FATAH, AMAR",Nej,SWE,,2004-02-19,,AIK,2021-2022,10,1,
8560,"AHMEDHODZIC, ANEL",Nej,SWE,,1999-03-26,,MALMÖ FF,2019-2021,55,3,
8961,"AIDOO, JOSEPH",Nej,GHA,,1995-09-29,,HAMMARBY IF,2015-2017,27,1,
8561,"AIESH, HOSAM",Nej,SWE,,1995-04-14,,BK HÄCKEN,2014,1,0,
8561,"AIESH, HOSAM",Nej,SWE,,1995-04-14,,ÖSTERSUNDS FK,2016-2019,69,8,
8561,"AIESH, HOSAM",Nej,SWE,,1995-04-14,,IFK GÖTEBORG,2019-2022,81,8,
9066,"AJDAREVIC, ALFRED",Nej,SWE,,1998-06-20,,ÖREBRO SK,2016-2018,5,0,
7580,"AJDAREVIC, ASTRIT",Nej,SWE,,1990-04-17,,ÖREBRO SK,2010-2016,48,11,
7580,"AJDAREVIC, ASTRIT",Nej,SWE,,1990-04-17,,IFK NORRKÖPING,2011-2012,40,6,
7580,"AJDAREVIC, ASTRIT",Nej,SWE,,1990-04-17,,HELSINGBORGS IF,2015,13,1,
7580,"AJDAREVIC, ASTRIT",Nej,SWE,,1990-04-17,,DJURGÅRDENS IF,2019-2020,30,0,
9421,"AJETI, BAJRAM",Nej,NOR,,1989-05-05,,IF BROMMAPOJKARNA,2018,8,2,
9457,"AKAS, CHIMA",Nej,NIG,,1994-05-03,,KALMAR FF,2018-2019,31,0,
7984,"AKOMBO, UKEYIMA",Nej,NIG,,1987-11-25,,GIF SUNDSVALL,2008,1,0,EJ OMVÄNT F+EN
9694,"AL HAMLAWI, ASSAD",Nej,SWE,,2000-10-27,,HELSINGBORGS IF,2020-2022,19,2,
9694,"AL HAMLAWI, ASSAD",Nej,SWE,,2000-10-27,,VARBERGS BOIS,2023,8,1,
9876,"AL-AMMARI, AMIR",Nej,SWE,,1997-07-27,,HALMSTADS BK,2021-2023,58,4,
9876,"AL-AMMARI, AMIR",Nej,SWE,,1997-07-27,,IFK GÖTEBORG,2022,11,0,
9876,"AL-AMMARI, AMIR",Nej,SWE,,1997-07-27,,MJÄLLBY AIF,2022,12,1,
9982,"AL-HAMAWI, AMIN",Nej,SWE,,2003-12-17,,HELSINGBORGS IF,2022,9,2,
5171,"ALAJA, PERTTI",Ja,FIN,,1952-02-18,2017-08-18,MALMÖ FF,1982-1983,44,0,
5326,"ALATENSIÖ, JARMO",Nej,FIN,,1963-11-09,2003-04-23,IK BRAGE,1988-1989,40,4,
8948,"ALBAEK, MADS",Nej,DAN,,1990-01-14,,IFK GÖTEBORG,2015-2017,48,9,
4373,"ALBINSSON, GÖRAN",Nej,SWE,,1947-04-20,,BRYNÄS IF,1974,25,1,
4389,"ALBO, REIN",Nej,SWE,,1954-02-13,,IFK GÖTEBORG,1977-1978,25,0,
8001,"ALBORNOZ, MAURICIO",Nej,SWE,,1988-03-10,,IF BROMMAPOJKARNA,2009-2014,93,14,
8001,"ALBORNOZ, MAURICIO",Nej,SWE,,1988-03-10,,ÅTVIDABERGS FF,2015,28,3,
8001,"ALBORNOZ, MAURICIO",Nej,SWE,,1988-03-10,,IFK GÖTEBORG,2016,7,0,
8001,"ALBORNOZ, MAURICIO",Nej,SWE,,1988-03-10,,GIF SUNDSVALL,2016,12,0,
8001,"ALBORNOZ, MAURICIO",Nej,SWE,,1988-03-10,,ATHLETIC FC ESKILSTU,2017,10,0,
8001,"ALBORNOZ, MAURICIO",Nej,SWE,,1988-03-10,,IK SIRIUS,2018,8,0,
