Nr,Rent_Namn,Målvakt,Nationalitet,Alias,Född,Avled,Klubb,Tid,Mat,Mål,Anteckningar
6488,"MOMCILOVIC, IVICA",Nej,JUG,,1967-10-04,,TRELLEBORGS FF,1997-1998,20,0,
0850,"MONSALVO, PABLO",Nej,ARG,,1983-01-17,,AIK,2007,6,0,PABLO MARTIN
7701,"MONTEIRO DE MACEDO, JOSÉ",Nej,SWE,,1982-06-02,,HAMMARBY IF,2006-2009,73,1,
8716,"MONTIEL, DIEGO",Nej,SWE,,1995-04-26,,IK SIRIUS,2017,5,0,MKL IK FRANKE
9923,"MOON, RYAN",Nej,RSA,,1996-09-15,,VARBERGS BOIS,2021,25,7,
8935,"MOON, SEON-MIN",Nej,KOR,,1992-06-09,,DJURGÅRDENS IF,2015-2016,20,2,
7921,"MORAIS REIS, DANIEL",Nej,BRA,,1986-05-12,,GAIS,2008-2009,15,3,
5405,"MORDT, PER-EDMUND",Nej,NOR,,1965-03-25,,IFK GÖTEBORG,1986-1992,76,4,
9471,"MORENO, POL",Nej,SPA,,1994-05-09,,GIF SUNDSVALL,2018-2019,37,0,
4115,"MORIN, JÖRGEN",Nej,SWE,,1940-07-21,2018-07-31,GIF SUNDSVALL,1965,9,0,
8395,"MORO, IBRAHIM",Nej,GHA,,1993-11-10,,AIK,2012-2014,50,2,
9614,"MORO, MAMUDU",Nej,GHA,,1995-03-07,,HELSINGBORGS IF,2019,24,1,
9614,"MORO, MAMUDU",Nej,GHA,,1995-03-07,,MJÄLLBY AIF,2020-2023,92,13,
9930,"MORO, NASIRU",Nej,GHA,,1996-09-24,,ÖREBRO SK,2021,13,0,
9644,"MORRISON, RAVEL",Nej,ENG,,1993-02-02,,ÖSTERSUNDS FK,2019,6,0,
9061,"MORSAY, JONATHAN",Nej,SWE,,1997-10-05,,GIF SUNDSVALL,2016-2018,45,1,
8221,"MOSHI SHABANI, HARUNA",Nej,TAN,BOBAN,1987-05-21,,GEFLE IF,2010,5,0,
2017,"MOSSBERG, ASSAR",Nej,SWE,,1908-09-30,1978-08-03,IFK MALMÖ,1931-1932,31,0,MKL ARLÖV BI
2017,"MOSSBERG, ASSAR",Nej,SWE,,1908-09-30,1978-08-03,MALMÖ FF,1933-1938,31,1,
2010,"MOSSBERG, BENGT",Nej,SWE,,1920-12-30,2011-06-06,IFK GÖTEBORG,1938-1942,49,10,
2010,"MOSSBERG, BENGT",Nej,SWE,,1920-12-30,2011-06-06,GAIS,1943,13,4,
4117,"MOSSBERG, JAN",Nej,SWE,,1948-04-18,,ÖREBRO SK,1969-1977,194,62,
8023,"MOSTAFA, KAMAL",Nej,SWE,,1991-07-22,,IFK GÖTEBORG,2009,4,0,
8023,"MOSTAFA, KAMAL",Nej,SWE,,1991-07-22,,FALKENBERGS FF,2015-2016,26,1,
2768,"MOSTRÖM, BRUNO",Nej,SWE,,1921-08-05,2007-10-14,SANDVIKENS IF,1940,2,0,
6900,"MOSTRÖM, MATTIAS",Nej,SWE,,1983-02-25,,AIK,2004-2006,38,3,SEN CAFE OPERA 01
9752,"MOTARAGHEBJAFARPOUR, ARASH",Nej,SWE,,2003-03-19,,KALMAR FF,2023,18,0,
9480,"MOTORI, FURKAN",Nej,SWE,,1995-08-18,,TRELLEBORGS FF,2018,5,0,
6871,"MOURAD, GEORGE",Nej,SWE,,1982-09-18,,VÄSTRA FRÖLUNDA IF,2000,3,0,
6871,"MOURAD, GEORGE",Nej,SWE,,1982-09-18,,IFK GÖTEBORG,2004-2007,68,14,
6871,"MOURAD, GEORGE",Nej,SWE,,1982-09-18,,SYRIANSKA FC,2012,18,2,
7059,"MOUSSA, EDDIE",Nej,SWE,,1984-03-20,2010-07-01,ASSYRISKA FF,2005,1,0,
7627,"MOUSSAN, GEORGE",Ja,SWE,,1989-11-08,,HAMMARBY IF,2007,4,0,
9443,"MOVSISYAN, YURA",Nej,ARM/USA,,1987-08-02,,DJURGÅRDENS IF,2018,4,0,
8717,"MRABTI, KERIM",Nej,SWE,,1994-05-20,,DJURGÅRDENS IF,2015-2018,77,18,
7560,"MRAVAC, ANES",Nej,SWE,,1989-07-17,,MALMÖ FF,2006,5,0,
7391,"MRDJA, NIKOLA",Nej,AUS,NICK,1978-11-30,,AIK,2004,12,2,
7975,"MRDJANIN, DJORDJE",Nej,SER,,1981-02-26,,IFK NORRKÖPING,2008,5,1,
5904,"MUHIC, ENES",Nej,BIH,,1961-01-21,,ÖSTERS IF,1992,1,0,
9980,"MUHSIN, AMAR",Nej,SWE,,1997-12-27,,HELSINGBORGS IF,2022,13,4,
8407,"MUJCIC, MIRZA",Nej,SWE,,1994-04-07,,GAIS,2012,8,0,
9181,"MUKHAMMAD, SHARIF",Nej,AFG,,1990-03-21,,ATHLETIC FC ESKILSTU,2017,7,0,
8839,"MUKIIBI, RONALD",Nej,SWE,,1991-09-16,,BK HÄCKEN,2014,1,0,
8839,"MUKIIBI, RONALD",Nej,SWE,,1991-09-16,,ÖSTERSUNDS FK,2016-2021,97,7,
8839,"MUKIIBI, RONALD",Nej,SWE,,1991-09-16,,DEGERFORS IF,2022,3,0,
7545,"MULENGA, CLIFFORD",Nej,ZAM,,1987-08-05,,ÖRGRYTE IS,2005-2006,11,0,
2761,"MUNCK AF ROSENSCHÖLD, CLAES",Ja,SWE,MUNKEN,1917-01-12,2005-08-31,LANDSKRONA BoIS,1941,3,0,
8063,"MUNOZ, ADRIANO",Nej,BRA,,1978-07-23,,ÖREBRO SK,2009,10,1,A.AFONSO THIEL MUNOZ
9736,"MUNTHER, LIAM",Nej,SWE,,2001-02-14,,VARBERGS BOIS,2020,1,0,
3462,"MUNTHER, OLA",Nej,SWE,,1926-06-03,2014-10-28,JÖNKÖPINGS SÖDRA IF,1952-1954,57,1,
5287,"MURRAY, JOHNY",Ja,SWE,,1960-09-25,,AIK,1988,10,0,"EG JOHN, MKL FLODA BOIF"
9201,"MUSA, MARIO",Nej,KRO,,1990-07-06,,HAMMARBY IF,2017,2,0,
8933,"MUSHEKWI, NYASHA",Nej,ZIM,,1987-08-21,,DJURGÅRDENS IF,2015,21,12,
8788,"MUSHITU, DANIEL",Nej,SWE,,2000-02-22,,AIK,2017,3,0,
8827,"MUSTAFA, DARDAN",Nej,SWE,,1992-02-05,,GEFLE IF,2014-2015,37,1,
7980,"MUSTAFI, NURI",Nej,MAK,,1983-03-16,,GIF SUNDSVALL,2008-2012,33,0,
8057,"MUTAVDZIC, MILJAN",Nej,SER,,1986-02-03,,MALMÖ FF,2009-2011,35,2,EJ 860302
6976,"MUTUMBA, MARTIN",Nej,SWE,KAYONGO-MUTUMBA,1985-06-15,,AIK,2002-2013,131,10,"UGA MEDB 2012, A-LK"
6977,"MUWEKE, JOSEPH",Nej,SWE,,1985-04-27,,IF ELFSBORG,2003,1,0,
7974,"MWAFULIRWA, RUSSELL",Nej,MAW,,1983-02-24,,IFK NORRKÖPING,2008-2011,19,3,
7314,"MWILA, BOYD",Nej,ZAM,,1984-07-28,,ÖRGRYTE IS,2003-2006,63,14,
7314,"MWILA, BOYD",Nej,ZAM,,1984-07-28,,DJURGÅRDENS IF,2009,19,2,
2767,"MYHR, LARS",Nej,SWE,,1920-01-08,2013-05-28,SANDVIKENS IF,1943-1944,5,0,FR STORFORS
4119,"MYHRE, SVEN",Nej,SWE,,1938-11-24,2023-02-14,ÖRGRYTE IS,1961-1963,13,0,"FD BURÅS, SEN VFRÖL"
2757,"MYHRÉN, ALF",Nej,SWE,,1921-04-17,1986-08-24,HALMSTADS BK,1946,3,0,
3468,"MYHRMAN, OLLE",Ja,SWE,OLOF,1921-06-16,2012-04-03,SANDVIKENS IF,1956,4,0,
8446,"MYRESTAM, DAVID",Nej,SWE,,1987-04-04,,GIF SUNDSVALL,2012-2019,71,1,
5342,"MYRTHIL, GLENN",Nej,SWE,,1964-08-02,,DJURGÅRDENS IF,1986-1989,46,11,
2006,"MÅHL, AXEL",Nej,SWE,,1918-09-17,1964-08-26,IK BRAGE,1938-1941,65,2,
5830,"MÅHLBERG, JONAS",Ja,SWE,,1975-08-12,,ÖREBRO SK,1995,2,0,
4102,"MÅLBERG, BORIS",Nej,SWE,,1938-04-02,,IF ELFSBORG,1961-1970,200,1,
4103,"MÅLBERG, LEIF",Nej,SWE,,1945-09-01,,IF ELFSBORG,1965-1980,337,8,
4110,"MÅLBERG, MORGAN",Nej,SWE,,1940-05-16,2020-11-30,IFK HOLMSUND,1967,9,1,
1066,"MÅNSSON, ALVAR",Ja,SWE,,1903-04-28,1977-03-14,STATTENA IF,1928-1930,42,0,EJ BROR ARNOLD
1066,"MÅNSSON, ALVAR",Ja,SWE,,1903-04-28,1977-03-14,HELSINGBORGS IF,1932-1933,15,0,
2762,"MÅNSSON, ARNE",Nej,SWE,,1925-11-11,2003-01-11,MALMÖ FF,1945-1955,121,1,
1439,"MÅNSSON, ARNOLD",Nej,SWE,,1905-07-24,1989-04-17,STATTENA IF,1928,1,0,
5123,"MÅNSSON, BENGT",Nej,SWE,,1959-04-26,2023-09-02,HALMSTADS BK,1983-1985,58,9,
1436,"MÅNSSON, HILDING",Nej,SWE,,,,IFK MALMÖ,1926,3,0,
2758,"MÅNSSON, SUNE",Nej,SWE,ÄRTA,1926-10-07,1967-05-30,HELSINGBORGS IF,1947-1956,7,1,"RÅÅ , SEN HÖGABORG 60"
4690,"MÅNSSON, TOMAS",Nej,SWE,,1957-10-01,,BK DERBY,1977,21,1,
4690,"MÅNSSON, TOMAS",Nej,SWE,,1957-10-01,,IFK NORRKÖPING,1979-1982,98,3,
8018,"MÅRD, OLOF",Nej,SWE,,1989-01-31,,GEFLE IF,2009-2014,84,2,
4943,"MÅRTENSSON, BENNY",Nej,SWE,,1957-11-06,,IS HALMIA,1979,21,0,
4943,"MÅRTENSSON, BENNY",Nej,SWE,,1957-11-06,,TRELLEBORGS FF,1985,22,5,
4697,"MÅRTENSSON, DAN",Nej,SWE,,1951-08-04,,LANDSKRONA BoIS,1971-1978,100,1,
2765,"MÅRTENSSON, EINAR",Nej,SWE,,1925-05-27,1998-12-22,MALMÖ FF,1946-1952,22,7,"FR KVARNBY IF, SEN ÅTV"
7432,"MÅRTENSSON, EMIL",Nej,SWE,,1985-01-09,,TRELLEBORGS FF,2004-2009,16,1,
1433,"MÅRTENSSON, ERIC",Nej,SWE,,1904-04-19,1981-09-09,IFK MALMÖ,1925-1930,28,0,
1432,"MÅRTENSSON, GUNNAR",Nej,SWE,,1903-04-25,1975-12-21,LANDSKRONA BoIS,1925-1930,68,30,
7908,"MÅRTENSSON, JOHAN",Nej,SWE,,1989-02-16,,GAIS,2008-2011,78,1,
7908,"MÅRTENSSON, JOHAN",Nej,SWE,,1989-02-16,,HELSINGBORGS IF,2014-2016,62,0,
7908,"MÅRTENSSON, JOHAN",Nej,SWE,,1989-02-16,,ÖREBRO SK,2017-2021,101,4,
7908,"MÅRTENSSON, JOHAN",Nej,SWE,,1989-02-16,,DEGERFORS IF,2023,9,1,
5228,"MÅRTENSSON, JÖRGEN",Nej,SWE,,1962-01-18,,TRELLEBORGS FF,1985,5,0,
3464,"MÅRTENSSON, KJELL",Nej,SWE,,1936-05-04,1996-01-17,MALMÖ FF,1956-1957,2,0,
2764,"MÅRTENSSON, LENNART",Nej,SWE,,1921-03-02,2001-06-28,MALMÖ FF,1942,5,1,
2014,"MÅRTENSSON, MALTE",Nej,SWE,SVARTA BLIXTEN,1916-09-24,1973-04-22,HELSINGBORGS IF,1935-1953,324,82,
6211,"MÅRTENSSON, MIKAEL",Nej,SWE,MÅSEN,1970-01-23,,DEGERFORS IF,1995-1997,72,3,
9922,"MÅRTENSSON, PHILIP",Ja,SWE,,1993-09-01,,VARBERGS BOIS,2021,6,0,
4986,"MÅRTENSSON, STEFAN",Nej,SWE,,1961-02-21,,LANDSKRONA BoIS,1979-1980,11,0,
2018,"MÅRTENSSON, STURE",Nej,SWE,BLIXTEN,1916-04-27,2004-02-15,MALMÖ FF,1938-1949,221,17,
3707,"MÅRTENSSON, SUNE",Nej,SWE,,1937-07-02,2013-01-23,IFK MALMÖ,1959-1962,21,5,
4992,"MÅRTENSSON, ULF",Nej,SWE,,1959-03-23,,MALMÖ FF,1979,2,0,
3457,"MÖLLER, BENGT",Ja,SWE,,1932-03-26,1992-09-23,IFK ESKILSTUNA,1958,2,0,EGEN PR
1434,"MÖLLER, GUSTAF",Nej,SWE,,1894-12-25,1972-03-24,IFK MALMÖ,1925-1926,20,2,
3461,"MÖLLER, GÖSTA",Nej,SWE,,1937-10-01,2012-01-18,HELSINGBORGS IF,1958,1,0,
3454,"MÖLLER, HANS",Nej,SWE,,1927-02-21,2018-09-02,AIK,1950-1951,5,0,
3454,"MÖLLER, HANS",Nej,SWE,,1927-02-21,2018-09-02,HAMMARBY IF,1955,11,1,
4699,"MÖLLER, JAN",Ja,SWE,,1953-09-17,,MALMÖ FF,1972-1988,297,1,
4699,"MÖLLER, JAN",Ja,SWE,,1953-09-17,,TRELLEBORGS FF,1992,17,0,
6101,"MÖLLER, MICHAEL",Nej,SWE,,1971-07-20,,HAMMARBY IF,1994-1995,41,0,
8262,"MÖLLER, OSCAR",Nej,SWE,,1987-04-15,,ÅTVIDABERGS FF,2010-2013,77,10,
4100,"MÖLLER, WILLY",Nej,SWE,SOTARN,1944-12-26,1980-12-23,DJURGÅRDENS IF,1962-1963,2,0,FR KALMAR AIK
7645,"MÖLLESTAM, ANDRÉ",Nej,SWE,,1991-05-14,,IF BROMMAPOJKARNA,2010,1,0,FR LUNDS BK
9121,"MÖRFELT, ALBIN",Nej,SWE,,2000-01-10,,VARBERGS BOIS,2021,6,1,
9121,"MÖRFELT, ALBIN",Nej,SWE,,2000-01-10,,DEGERFORS IF,2022-2023,9,1,
9121,"MÖRFELT, ALBIN",Nej,SWE,,2000-01-10,,MJÄLLBY AIF,2022,10,0,
5345,"MÖRK, PETER",Nej,SWE,,1969-01-27,,DJURGÅRDENS IF,1986-1990,27,6,EM NORGE
7500,"N'GUIJOL MINKA, JOSEPH",Nej,KAM,,1978-06-04,,GEFLE IF,2005,2,0,
9022,"NADEAU, JOSHUA",Nej,FRA,,1994-09-12,,GEFLE IF,2016,21,1,
8546,"NADJ, ALEXANDER",Ja,SWE,,1986-08-26,,ÖSTERS IF,2013,16,0,
9581,"NALIC, ADI",Nej,SWE,,1997-12-01,,ATHLETIC FC ESKILSTU,2019,20,5,
9581,"NALIC, ADI",Nej,SWE,,1997-12-01,,MALMÖ FF,2020-2022,53,8,
9581,"NALIC, ADI",Nej,SWE,,1997-12-01,,HAMMARBY IF,2023,26,4,
9384,"NANASI, SEBASTIAN",Nej,SWE,,2002-05-16,,VARBERGS BOIS,2020,6,0,
9384,"NANASI, SEBASTIAN",Nej,SWE,,2002-05-16,,MALMÖ FF,2021-2023,51,12,
9384,"NANASI, SEBASTIAN",Nej,SWE,,2002-05-16,,KALMAR FF,2022,16,5,
6324,"NANNSKOG, DANIEL",Nej,SWE,,1974-05-22,,MALMÖ FF,1996,10,1,
6324,"NANNSKOG, DANIEL",Nej,SWE,,1974-05-22,,LANDSKRONA BoIS,2002-2003,41,15,
3493,"NATT OCH DAG, ULF",Nej,SWE,,1931-11-15,2007-03-04,HELSINGBORGS IF,1951,1,0,
7188,"NAURIN, TOMMY",Ja,SWE,,1984-05-17,,ÖRGRYTE IS,2003-2004,6,0,
7188,"NAURIN, TOMMY",Ja,SWE,,1984-05-17,,GIF SUNDSVALL,2012-2017,88,0,
8101,"NAZARI, AMIN",Nej,SWE,,1993-04-26,,MALMÖ FF,2011-2014,18,0,
8101,"NAZARI, AMIN",Nej,SWE,,1993-04-26,,FALKENBERGS FF,2016,23,2,
8350,"NAZARI, OMID",Nej,SWE,,1991-04-29,,MALMÖ FF,2011,4,0,
9299,"NDIONE, MAROKHY",Nej,SWE,,1999-11-04,,IF ELFSBORG,2019-2021,49,6,
6088,"NDUGWA, MOSES",Nej,SWE,,1978-01-23,,HELSINGBORGS IF,1997,9,1,
0749,"NEBRELIUS, HENRIK",Nej,SWE,,1974-09-16,,BK HÄCKEN,1994,22,1,
7704,"NEEMELO, TARMO",Nej,EST,,1982-02-10,,HELSINGBORGS IF,2006,5,0,
7350,"NEKMOUCHE, FILIP",Nej,SWE,,1987-09-29,,KALMAR FF,2005,2,0,
3487,"NELL, HANS",Nej,SWE,,1931-05-27,,HAMMARBY IF,1955-1965,152,2,
3516,"NESTORSSON, HOLGER",Nej,SWE,,1933-01-29,,ÖRGRYTE IS,1959,2,1,F/T SKÄRHAMN
9713,"NETABAY, NAHOM GIRMAI",Nej,SWE,,1994-08-28,,IK SIRIUS,2020-2021,50,7,
9713,"NETABAY, NAHOM GIRMAI",Nej,SWE,,1994-08-28,,KALMAR FF,2022-2023,55,4,
9453,NETO BORGES,Nej,BRA,VIV. BORG.DOS SANTO NETO,1996-09-13,,HAMMARBY IF,2018,26,0,
6709,"NEVLAND, ERIK",Nej,NOR,,1977-11-10,,IFK GÖTEBORG,1999,4,0,
6252,"NEWSON, MARK",Nej,ENG,,1960-12-07,,ÖSTERS IF,1995,11,1,
7702,"NHLEKO, NKOSINATHI",Nej,RSA,TONI,1979-07-24,,HAMMARBY IF,2006-2007,12,0,
6537,"NICKLASSON, DANIEL",Nej,SWE,,1981-04-23,,IFK GÖTEBORG,2000,5,0,
6537,"NICKLASSON, DANIEL",Nej,SWE,,1981-04-23,,GAIS,2006-2009,71,3,
6537,"NICKLASSON, DANIEL",Nej,SWE,,1981-04-23,,MJÄLLBY AIF,2010-2013,73,4,
4133,"NICKLASSON, GÖRAN",Nej,SWE,PISA,1942-08-20,,IFK GÖTEBORG,1964-1970,121,28,
6949,"NIELSEN, BRIAN STEEN",Nej,DA,,1968-12-28,,MALMÖ FF,2001-2002,29,0,
3486,"NIELSEN, GÖSTA",Nej,SWE,GADDEN,1938-12-18,2022-10-19,HALMSTADS BK,1957-1959,26,5,SEN ARVIDSTORP 72
3486,"NIELSEN, GÖSTA",Nej,SWE,GADDEN,1938-12-18,2022-10-19,HAMMARBY IF,1967,6,0,
9217,"NIELSEN, LASSE",Nej,DAN,,1988-01-08,,MALMÖ FF,2017-2023,137,3,
9474,"NIELSEN, LASSE",Nej,DAN/,,1987-03-03,,TRELLEBORGS FF,2018,22,2,
5019,"NIELSEN, OLE",Nej,DAN,,1952-01-23,,VÄSTERÅS SK,1978,2,0,
4914,"NIEMINEN, JYRKI",Nej,FIN,JYCKE,1951-03-30,,AIK,1979-1984,95,18,
2027,"NIERENBURG, NILS",Nej,SWE,NIPPE,1916-11-14,1974-06-03,DJURGÅRDENS IF,1937,3,0,
4721,"NIHLSTEDT, LARS",Nej,SWE,,1951-08-15,,KALMAR FF,1976,1,0,
5279,"NIINIMÄKI, JARI",Nej,FIN,,1957-12-01,2023-06-10,AIK,1986,6,4,
6589,"NIKLASSON, ANDREAS",Nej,SWE,,1978-04-22,,IF ELFSBORG,1998-2004,55,3,
4134,"NIKLASSON, DONALD",Nej,SWE,,1947-01-12,,IFK GÖTEBORG,1967-1977,62,1,
2051,"NIKLASSON, EGON",Nej,SWE,,1914-08-28,1982-06-04,GAIS,1935-1938,30,7,
2791,"NIKLASSON, ERIK",Nej,SWE,,1917-06-03,1989-01-05,GAIS,1942-1943,15,9,SEN ÖRG 42-44
6938,"NIKLASSON, JOHAN",Nej,SWE,,1985-01-17,,ÅTVIDABERGS FF,2010,9,0,
8724,"NIKOLIC, MARKO",Nej,SWE,,1997-09-17,,AIK,2014-2015,12,0,
8724,"NIKOLIC, MARKO",Nej,SWE,,1997-09-17,,IF BROMMAPOJKARNA,2018,10,0,
5303,"NIKOLOV, PLAMEN",Nej,BUL,,1957-06-24,,IK BRAGE,1986-1990,78,1,
5972,"NILDÉN, DAVID",Nej,SWE,,1973-02-08,,AIK,1993,4,0,
4122,"NILDÉN, JIM",Nej,SWE,JIMPA,1940-02-29,,AIK,1961-1971,124,9,
4153,"NILMERT, BO",Nej,SWE,NILSSON TID.,1946-11-28,,IFK NORRKÖPING,1967,3,0,
4153,"NILMERT, BO",Nej,SWE,NILSSON TID.,1946-11-28,,KALMAR FF,1976-1977,52,1,
2781,"NILSON, STIG",Ja,SWE,FISKEVIK,1926-05-17,2009-06-14,DEGERFORS IF,1947-1948,4,0,
8725,"NILSSON, ALBIN",Nej,SWE,,1993-08-11,,TRELLEBORGS FF,2018,3,0,
7810,"NILSSON, ALEXANDER",Nej,SWE,,1992-10-23,,MALMÖ FF,2008-2012,25,4,
9231,"NILSSON, ALEXANDER",Nej,SWE,,1990-12-11,,IK SIRIUS,2017,24,3,
9231,"NILSSON, ALEXANDER",Nej,SWE,,1990-12-11,,IF BROMMAPOJKARNA,2018,15,1,
9693,"NILSSON, ALEXANDER",Ja,SWE,,1997-08-22,,HELSINGBORGS IF,2020,15,0,
4722,"NILSSON, ALF",Nej,SWE,,1954-01-04,,KALMAR FF,1976-1984,132,6,
1462,"NILSSON, ANDERS",Nej,SWE,,1901-04-06,1961-08-02,IFK UDDEVALLA,1926-1927,30,6,
4711,"NILSSON, ANDERS",Nej,SWE,PUTTE,1951-08-08,,BK DERBY,1977,7,0,FR VADSTENA
5680,"NILSSON, ANDERS",Nej,SWE,DOJAN,1969-05-28,,DJURGÅRDENS IF,1990-1991,8,1,
5680,"NILSSON, ANDERS",Nej,SWE,DOJAN,1969-05-28,,HALMSTADS BK,1996,19,3,
5680,"NILSSON, ANDERS",Nej,SWE,DOJAN,1969-05-28,,VÄSTERÅS SK,1997,18,2,
2047,"NILSSON, ANDREAS",Nej,SWE,,1910-01-26,2011-10-01,MALMÖ FF,1932-1941,125,30,
6866,"NILSSON, ANDREAS",Nej,SWE,DESSA,1977-11-06,,VÄSTRA FRÖLUNDA IF,2000,7,1,
6866,"NILSSON, ANDREAS",Nej,SWE,DESSA,1977-11-06,,IFK GÖTEBORG,2004,1,0,
6866,"NILSSON, ANDREAS",Nej,SWE,DESSA,1977-11-06,,IF ELFSBORG,2004-2005,7,1,
2798,"NILSSON, ARNE",Nej,SWE,STOLPE,1922-06-30,2004-05-27,LANDSKRONA BoIS,1941-1949,68,4,
1461,"NILSSON, ARVID",Nej,SWE,AVVA-NISSE,1904-05-28,1992-09-30,IK SLEIPNER,1926-1931,17,7,
2019,"NILSSON, AXEL",Nej,SWE,ACKE,1904-11-12,1978-04-22,AIK,1932-1941,165,53,
3509,"NILSSON, BENGT",Nej,SWE,JÄRNIS,1932-03-13,2023-06-22,IFK NORRKÖPING,1951,1,0,SEN DERBY
4144,"NILSSON, BENGT",Nej,SWE,KRITA,1939-12-20,,HELSINGBORGS IF,1961-1963,16,6,EJ MFF
4157,"NILSSON, BENGT",Nej,SWE,,1939-10-01,2022-12-31,IFK MALMÖ,1962,18,3,"EJ 351220, KIRSEBERG 63"
5300,"NILSSON, BENGT",Ja,SWE,,1957-08-31,,IK BRAGE,1980-1988,172,0,
2030,"NILSSON, BERTIL",Nej,SWE,LILL-JOHN,1914-01-05,1984-12-19,GAIS,1936-1937,6,4,
3481,"NILSSON, BERTIL",Nej,SWE,KLUMPEN,1936-01-16,,MALMÖ FF,1954-1966,178,41,
3481,"NILSSON, BERTIL",Nej,SWE,KLUMPEN,1936-01-16,,IS HALMIA,1963,22,3,
3491,"NILSSON, BERTIL",Nej,SWE,FISKARN,1934-02-05,2022-04-13,HELSINGBORGS IF,1955,3,2,"FR JONSTORP,TROL SEN RÅÅ"
4991,"NILSSON, BJÖRN",Nej,SWE,,1960-04-09,,MALMÖ FF,1979-1986,134,28,
4991,"NILSSON, BJÖRN",Nej,SWE,,1960-04-09,,LANDSKRONA BoIS,1994,12,0,
6355,"NILSSON, BJÖRN",Nej,SWE,HILLBRANT,1973-09-15,,UMEÅ FC,1996,25,0,
4129,"NILSSON, BO",Nej,SWE,,1944-08-18,,DJURGÅRDENS IF,1967,1,0,"FR IFK HÄSSLE,SEN TRÄNARE"
4718,"NILSSON, BO",Nej,SWE,,1953-08-01,,HALMSTADS BK,1972,1,0,
4724,"NILSSON, BO",Nej,SWE,,1947-04-30,,IFK NORRKÖPING,1970-1971,22,0,FR ARLÖV
4724,"NILSSON, BO",Nej,SWE,,1947-04-30,,LANDSKRONA BoIS,1972-1973,23,1,
3497,"NILSSON, BÖRJE",Nej,SWE,AFFE,1931-05-18,2020-12-26,MALMÖ FF,1958-1959,16,8,
2029,"NILSSON, CARL",Nej,SWE,,1911-12-15,1965-06-30,GAIS,1935-1938,45,6,
2044,"NILSSON, CARL",Nej,SWE,WIBRATT,1912-02-10,1992-11-02,LANDSKRONA BoIS,1938-1942,35,0,
3508,"NILSSON, CHARLES",Nej,SWE,KLADDEN,1928-04-17,1991-02-09,MOTALA AIF,1958,4,1,
2041,"NILSSON, CHRISTER",Ja,SWE,,1915-09-29,1949-07-03,HELSINGBORGS IF,1935,3,0,
6718,"NILSSON, CHRISTIAN",Nej,SWE,,1972-01-15,,KALMAR FF,1999,13,0,
7781,"NILSSON, CHRISTOPHER",Nej,SWE,ALVENGRIP,1990-03-12,,MJÄLLBY AIF,2010,1,0,
3503,"NILSSON, CLAES-GÖRAN",Nej,SWE,,1938-08-09,2012-08-15,IFK MALMÖ,1959,1,0,
6475,"NILSSON, DANIEL",Nej,SWE,,1975-11-13,,PANOS LJUNGSKILE SK,1997,4,0,
6564,"NILSSON, DANIEL",Nej,SWE,,1982-09-21,,MJÄLLBY AIF,2010-2014,125,3,
0561,"NILSSON, DENNIS",Nej,SWE,,1968-11-19,,ÖSTERS IF,1993-1994,46,0,
0561,"NILSSON, DENNIS",Nej,SWE,,1968-11-19,,KALMAR FF,1999-2004,62,1,
3515,"NILSSON, DOUGLAS",Nej,SWE,,1938-01-04,,ÖRGRYTE IS,1959-1962,30,1,"-4938,SEN HÄLSÖ BK"
3474,"NILSSON, EJE",Nej,SWE,,1939-06-28,,DJURGÅRDENS IF,1959-1960,15,1,
2036,"NILSSON, ERIK",Nej,SWE,,1912-07-22,1979-07-23,IS HALMIA,1933-1934,26,3,
2788,"NILSSON, ERIK",Nej,SWE,KIRRE,1924-09-21,2015-03-22,IFK ESKILSTUNA,1943,3,0,
2326,"NILSSON, ERIK",Nej,SWE,,1916-08-06,1995-09-09,MALMÖ FF,1937-1953,320,1,
4715,"NILSSON, ERIK",Nej,SWE,,1954-11-04,,IFK GÖTEBORG,1977-1979,17,2,
7368,"NILSSON, ERIK",Nej,SWE,,1989-07-30,,ÖREBRO SK,2009-2011,18,0,
2037,"NILSSON, FOLKE",Nej,SWE,,1910-02-09,1983-02-07,IS HALMIA,1934,2,0,
2804,"NILSSON, FOLKE",Nej,SWE,KICKAN,1923-08-16,2003-06-08,MALMÖ FF,1947-1951,3,1,SEN LEDARE SVEDALA
1453,"NILSSON, FRANS",Nej,SWE,HURTIG,1891-09-22,1974-03-27,LANDSKRONA BoIS,1925,4,0,
7429,"NILSSON, FREDRIK",Nej,SWE,,1984-09-25,,TRELLEBORGS FF,2004,3,0,
3514,"NILSSON, FRITZ",Nej,SWE,,1922-01-22,1981-07-25,ÅTVIDABERGS FF,1952,22,4,
2806,"NILSSON, GEORG",Nej,SWE,,1918-04-23,1998-03-15,MALMÖ FF,1940-1941,10,0,
3471,"NILSSON, GERT",Nej,SWE,,1936-05-24,2019-01-17,HELSINGBORGS IF,1956-1959,73,21,-3959
3471,"NILSSON, GERT",Nej,SWE,,1936-05-24,2019-01-17,IK BRAGE,1966,15,3,
3499,"NILSSON, GERT",Nej,SWE,,1932-02-07,2016-11-09,MALMÖ FF,1954-1955,7,0,
3499,"NILSSON, GERT",Nej,SWE,,1932-02-07,2016-11-09,IFK MALMÖ,1958-1962,48,2,
